ISBN,Authors,Titles
0061060542,Clay Coleman,"Escape! (Escape from Lost Island, No 6)"
0061060585,Marilyn Kaye,"Two's Company, Four's a Crowd (Three of a Kind, No 4)"
0061060593,Marilyn Kaye,"Cat Morgan, Working Girl (Three of a Kind, No 5)"
0061060607,Marilyn Kaye,"101 Ways to Win Homecoming Queen (Three of a Kind, No 6)"
0061060615,Nicholas Adams,"New Kid on the Block (Horror High, No 4)"
0061060623,Nicholas Adams,"Hard Rock (Horror High, No 5)"
0061060690,Melissa Brennan,"Sneaking Around (Pizza Paradise, No 5)"
006106078X,Linda A. Cooney,"Freshman Changes (Freshman Dorm, No 10)"
0061060798,Nicholas Adams,"Final Curtain (Horror High, No 8)"
0061060828,Joanna Campbell,Thoroughbred #03 Wonder's First Race (Thoroughbred)
0061060836,Joanna Campbell,Thoroughbred #04 Wonder's Victory (Thoroughbred)
0061060844,Nicholas Adams,"Pep Rally (Horror High, No 7)"
0061060852,Joanna Campbell,Thoroughbred #02 Wonder's Promise (Thoroughbred)
0061060860,Linda A. Cooney,"Freshman Schemes (Freshman Dorm, No 9)"
0061060933,Janet Quin-Harkin,"Homecoming Dance (Senior Year, No 1)"
006106095X,Janet Quin-Harkin,"Night of the Prom (Senior Year, No 3)"
0061060976,L.J. Smith,The Awakening (Vampire Diaries)
0061060984,L. J. Smith,"The Struggle (The Vampire Diaries : a Trilogy, Vol II)"
0061060992,L. J. Smith,The Fury
006106100X,Peter Nelson,First to Die
0061061018,Peter Nelson,"Double Dose (A Mollie Fox Mystery, No 2)"
0061061069,Nicholas Adams,I.O.U.
0061061085,Nicholas Adam,Santa Claws
0061061204,Joanna Campbell,Thoroughbred #01 A Horse Called Wonder (Thoroughbred)
0061061212,Linda A. Cooney,"Freshman Fling (Freshman Dorm, No 11)"
0061061239,Robin Burcell,Fatal Truth
0061061271,Linda A. Cooney,"Freshman Flames (Freshman Dorm, No 13)"
006106128X,Linda A. Cooney,Freshman Choices (Freshman Dorm No 14)
0061061352,Linda A. Cooney,"Freshman Wedding (Freshman Dorm, No 18)"
0061061360,Mel Gilden,"Beverly Hills 90210: No Secrets (Beverly Hills, 90210)"
0061061409,Linda A. Cooney,"Freshman Heartbreak (Freshman Dorm, No. 15)"
0061061425,Linda A. Cooney,"Freshman Follies (Freshman Dorm, No. 17)"
0061061433,David G. Hartwell,Year's Best SF 7
0061061441,Mel Gilden,"Beverly Hills 90210: Two Hearts (Beverly Hills, 90210, No 7)"
0061061468,Mel Gilden,More Than Words (Beverly Hills 90210)
0061061492,Virginia Campbell Scott,The Dream Horse
0061061514,Cynthia Blair,The Seduction (Dark Moon Legacy No. 2)
0061061522,Bill Gutman,Along the Dangerous Trail
0061061573,T.S. Rue,The Attic (Nightmare Inn)
0061061581,Cynthia Blair,"The Curse (Dark Moon Legacy, Vol 1)"
0061061603,Cynthia Blair,"The Rebellion (Dark Moon Legacy, Vol 3)"
0061061638,Joanna Campbell,Thoroughbred #07 Samantha's Pride (Thoroughbred)
0061061646,Joanna Campbell,Thoroughbred #08 Sierra's Steeplechase (Thoroughbred)
0061061654,Linda A. Cooney,"Freshman Breakup (Freshman Dorm, No 29)"
0061061697,Linda A. Cooney,Freshman Freedom (Freshman Dorm)
0061061700,Linda A. Cooney,Freshman Holiday (Freshman Dorm)
0061061727,L. J. Smith,The Night of the Solstice
0061061735,L. J. Smith,Heart of Valor
0061061751,M. C. Sumner,The Principal
006106176X,Betsy Haynes,Beware the Shopping Mall (BC 1) (Bone Chillers)
0061061778,Nicholas Adams,Vampire's Kiss
0061061808,M. C. Sumner,The Coach
0061061832,Katherine Applegate,"Ben's in Love (Boyfriends and Girlfriends, No 4)"
0061061867,Betsy Haynes,Back to School (Bone Chillers)
0061061875,Katherine Applegate,"Claire Gets Caught (Boyfriends Girlfriends, No 5)"
0061061883,M. C. Sumner,The Substitute
0061061905,Katherine Applegate,"What Zoey Saw (Boyfriends Girlfriends, No 6)"
0061061948,Katherine Applegate,Lucas Gets Hurt (Boyfriends and Girlfriends No 7)
0061061956,Bebe Faas Rice,Class Trip II (Class Trip)
0061061972,Betsy Haynes,"Frankenturkey (Bone Chillers, No 4)"
0061061980,Linda A. Cooney,"Freshman Road Trip (Freshman Dorm, No 5)"
0061061999,Linda A. Cooney,Freshman Beach Party (Freshman Dorm)
0061062006,Linda A. Cooney,Freshman Spirit (Freshman Dorm)
0061062014,Linda A. Cooney,Freshman Noel (Freshman Dorm Super No 8)
0061062022,Katherine Applegate,"Zoey Fools Around (Boyfriends and Girlfriends, No 1)"
0061062049,Diane Redmond,The Most Beautiful Horse in the World
0061062073,Joanna Campbell,"Pride's Challenge (Thoroughbred, No. 9)"
0061062081,Mel Gilden,"Graduation Day (Beverly Hills 90210, No 12)"
0061062154,Susan Saunders,Maxine's Blue Ribbon (Pony Camp No 3)
0061062219,Joanna Campbell,Wonder's Yearling Special Edition
0061062227,Joanna Campbell,Ashleigh's Dream Special Edition
0061062278,Nicholas Adams,Horror High #01: Mister Popularity
0061062324,Kate Daniel,Baby-Sitter's Nightmare /Part 2
0061062332,Katherine Applegate,Ocean City Reunion (Ocean City No 5)
0061062340,Katherine Applegate,"Heat Wave (Ocean City, No 6)"
0061062383,Gertrude Gruesome,"Harry Goes to Camp (Monsterkids, No 3)"
0061062391,Eric Weiner,Jack and Jill: Nursery Crimes
0061062405,Eric Weiner,There Was an Old Woman (Nursery Crimes)
0061062413,Eric Weiner,"Pat-A-Cake, Pat-A-Cake (Nursery Crimes)"
006106243X,Janice Harrell,"Bloodchoice (Vampire Twins, No 3)"
0061062464,Janice Harrell,Bloodlust (Vampire Twins No 2)
0061062472,Janice Harrell,"Bloodlines (Vampire Twins, Vol 1)"
0061062499,Joanna Campbell,Ashleigh's Christmas Miracle (Thoroughbred Super)
0061062596,John Hall,The Cheerleaders
0061062685,Jahnna N. Malcolm,"Virgo: Desperately Yours (Zodiac, No 2)"
0061062715,Jahnna N. Malcolm,"Leo: Stage Fright (Zodiac, No 1)"
0061062820,John Hall,Dear Sister
0061062839,Janice Harrell,Blood Reunion (Vampire Twins No 4)
0061062855,Katherine Applegate,Swept Away (Ocean City No 8)
0061062863,Rudyard Kipling,The Jungle Book
0061062871,Mel Gilden,The Jungle Book: A Novelization
0061062901,Dafydd Ab Hugh,"Swept Away: The Mountain (Swept Away, No 2)"
0061062928,Joanna Campbell,Ashleigh's Diary (Thoroughbred Super)
0061062936,Connie Laux,"The Reckoning (Blood Moon, No 3)"
0061062979,Bernard O'Keane,Lights Out (Baby-Sitter's Nightmares)
0061062995,Betsy Haynes,Strange Brew (Bone Chillers No. 5)
0061063002,Katherine Applegate,"Beach Party (Ocean City, 10)"
0061063045,Katherine Applegate,"Shipwrecked (Ocean City, No 9)"
0061063088,Katherine Applegate,"Forever (Ocean City, No 11)"
0061063142,Betsy Haynes,Teacher Creature (BC 6) (Bone Chillers)
0061063169,Daniel Parker,Magic at the Crossroads (Dark Hearts)
0061063193,Betsy Haynes,Frankenturkey II (BC 7) (Bone Chillers)
0061063207,Betsy Haynes,Welcome to Alien Inn (Bone Chillers)
0061063215,Betsy Haynes,Attack of the Killer Ants (BC 9) (Bone Chillers)
0061063223,Betsy Haynes,Slime Time (BC 10) (Bone Chillers)
0061063258,Joanna Campbell,Thoroughbred #14 Cindy's Glory (Thoroughbred)
0061063746,Linda Cargill,Hang Loose
0061063754,David Bischoff,Hackers
0061063959,Joanna Campbell,Ashleigh's Hope (Thoroughbred Prequel)
0061063983,Joanna Campbell,Thoroughbred #18 Glory's Rival (Thoroughbred)
0061064041,T. S. Rue,Room 13 (Nightmare Inn)
0061064130,Homer,Wishbone Classic #02 Odyssey (Wishbone Classics)
0061064149,Joanne Mattern,The Strange Case of Dr. Jekyll and Mr. Hyde (Wishbone Classics)
0061064157,William Shakespeare,Wishbone Classic #03 Romeo and Juliet (Wishbone Classics)
0061064173,Mary Wollstonecraft Shelley,Wishbone Classic #07 Frankenstein (Wishbone Classics)
0061064181,Patrice Selene,Wishbone Classic #04 Joan of Arc (Wishbone Classics)
006106419X,Joanne Mattern,Wishbone Classic #05 Oliver Twist (Wishbone Classics)
0061064203,Joanne Mattern,Wishbone Classic #06 Adv of Robin Hood (Wishbone Classics)
006106422X,Lisa Rojany,"In the Emergency Room (Code Blue, No 1)"
0061064246,Sheila Black,Truth or Consequences (Code Blue)
0061064262,Betsy Haynes,Toilet Terror (Bone Chillers)
0061064297,Betsy Haynes,"Terminal Case of the Uglies, A (BC 14) (Bone Chillers)"
0061064343,Sharon Holland,"The Hunchback of Notre Dame (Enchanted Tales, No 3)"
0061064475,Betsy Haynes,"Tiki Doll of Doom (Haynes, Betsy. Bone Chillers, No. 15.)"
0061064483,Betsy Haynes,"Queen of the Gargoyles, The  (BC 16) (Bone Chillers)"
0061064491,Betsy Haynes,Why I Quit the Baby-sitters Club (BC 17) (Bone Chillers)
0061064505,Sherry Shahan,"Blowtorch Psycho.Com (Bone Chillers, No 18)"
0061064513,Betsy Haynes,"Night Squawker, The (BC 19) (Bone Chillers)"
006106453X,David G. Hartwell,Year's Best: Sf 8 (Year's Best SF (Science Fiction))
0061064742,Betsy Haynes,Romeo and Ghouliette (BC 23) (Bone Chillers)
0061064823,Joanna Campbell,Battlecry Forever! (Thoroughbred Club)
0061064831,Joanna Campbell,Star of Shadowbrook Farm (Thoroughbred)
0061064866,Karle Dickerson,The Forgotten Filly (Thoroughbred Club)
0061064890,Joanna Campbell,Thoroughbred #19 Cindy's Heartbreak (Thoroughbred)
0061064947,Joanna Campbell,Samantha's Journey (Thoroughbred Super)
0061064963,Jules Verne,Wishbone Classic #09 A Journey to the Center of the  Earth (Wishbone)
0061064971,Michael Burgan,Wishbone Classic #10 The Red Badge of Courage (Wishbone)
006106498X,Stephen Fuentes,Wishbone Classic #11 Adv of Tom Sawyer (Wishbone)
0061065080,Stephanie Prince,Pledge Class : Pledge Class (SS#2) (Sorority Sisters)
0061065188,Lou Michel,American Terrorist: Timothy McVeigh &amp; the Tragedy at Oklahoma City
006106520X,Terry Bisson,Alien Resurrection digest
0061065293,Joanna Campbell,Thoroughbred #27 Christina's Courage (Thoroughbred)
0061065404,Joanna Campbell,"Lightning's Last Hope (Ashleigh, No. 1)"
0061065560,Peter Telep,Wing Commander Junior Novelization (Wing Commander)
0061065579,Joanna Campbell,"Ashleigh #4 Goodbye, Midnight Wanderer (Ashleigh)"
0061065609,T. B. Calhoun,"Spinout (Nascar, No 6)"
0061065625,Joanna Campbell,Thoroughbred #33 Racing Parker (Thoroughbred)
0061065714,Mary-Kate &amp; Ashley Olsen,"It's a Twin Thing (Two of a Kind, No. 1)"
0061065722,Mary-Kate &amp; Ashley Olsen,"How to Flunk Your First Date (Two of a Kind, No. 2)"
0061065730,Mary-Kate &amp; Ashley Olsen,"The Sleepover Secret (Two of a Kind, No. 3)"
0061065749,Mary-Kate &amp; Ashley Olsen,"One Twin Too Many (Two of a Kind, No. 4)"
0061065757,Mary-Kate &amp; Ashley Olsen,Two of a Kind #05: To Snoop or Not to Snoop? (Two of a Kind)
0061065765,Mary-Kate &amp; Ashley Olsen,Two of a Kind #06: My Sister the Supermodel (Two of a Kind)
0061065773,Mary-Kate &amp; Ashley Olsen,Two of a Kind #07: Two's a Crowd (Two of a Kind)
0061065781,Mary-Kate &amp; Ashley Olsen,"Let's Party! (Two of a Kind, No. 8)"
006106579X,Mary-Kate &amp; Ashley Olsen,"Two of a Kind #09: Calling All Boys (Two of a Kind, 9)"
0061065803,Mary-Kate &amp; Ashley Olsen,Two of a Kind #10: Winner Take All (Two of a Kind)
0061065811,Mary-Kate &amp; Ashley Olsen,Two of a Kind #11: P. S. Wish You Were Here (Two of a Kind)
006106582X,Mary-Kate &amp; Ashley Olsen,Two of a Kind #12: The Cool Club (Two of a Kind)
0061065838,Mary-Kate &amp; Ashley Olsen,New Adventures of Mary-Kate &amp; Ashley #10 The Case Of The Great Elephant Escape : The Case Of The Great Elephant Escape (New Adventures of Mary-Kate &amp; Ashley)
0061065846,Mary-Kate &amp; Ashley Olsen,"The Case of the Summer Camp Caper (The New Adventures of Mary-Kate &amp; Ashley, No. 11)"
0061065854,Mary-Kate &amp; Ashley Olsen,New Adventures of Mary-Kate &amp; Ashley #12: The Case Of The Surfing Secret : The Case Of The Surfing Secret (New Adventures of Mary-Kate &amp; Ashley)
0061065862,Mary-Kate &amp; Ashley Olsen,The Case of the Green Ghost (The New Adventures of Mary-Kate &amp; Ashley #13)
0061065870,Mary-Kate &amp; Ashley Olsen,"The Case of the Big Scare Mountain Mystery (New Adventures of Mary-Kate and Ashley Olsen, No. 14)"
0061065889,Mary-Kate &amp; Ashley Olsen,New Adventures of Mary-Kate &amp; Ashley #15: The Case of the Slam Dunk Mystery : The Case Of The Slam Dunk Mystery (New Adventures of Mary-Kate &amp; Ashley)
0061065897,Mary-Kate &amp; Ashley Olsen,New Adventures of Mary-Kate &amp; Ashley #16: The Case of the Rock Star's Secret : The Case of the Rock Star's Secret (New Adventures of Mary-Kate &amp; Ashley)
0061065900,Lisa Fiedler,The Case of the Cheerleading Camp Mystery (The New Adventures of Mary-Kate &amp; Ashley #17)
0061065919,Mary-Kate &amp; Ashley Olsen,"The Case of the Flying Phantom (New Adventures of Mary-Kate &amp; Ashley, No. 18)"
0061065927,Judy Katschke,"The Case of the Creepy Castle (The New Adventures of Mary-Kate &amp; Ashley, No. 19)"
0061065935,Mary-Kate &amp; Ashley Olsen,"The Case of the Golden Slipper (The New Adventures of Mary Kate &amp; Ashley, No. 20)"
0061066079,Joanna Campbell,Thoroughbred #36:  Without Wonder (Thoroughbred)
0061066192,Everett Owens,"X Files YA #14 Regeneration (X-Files, No 14 (Juvenile))"
0061066206,Jackie Robb,Britney Spears: The Unauthorized Biography
006106632X,Joanna Campbell,"Ashleigh #8: The Lost Foal (Thoroughbred Ashleigh, No 8)"
0061066370,Judy Katschke,"Two of a Kind #14: Bye-bye Boyfriend (Two of a Kind, 14)"
0061066443,Mary-Kate &amp; Ashley Olsen,"New Adventures of Mary-Kate &amp; Ashley #22: The Case of the High Seas Secret : The Case of the High Seas Secret (New Adventures of Mary-Kate and Ashley, 22)"
0061066451,Mary-Kate &amp; Ashley Olsen,"New Adventures of Mary-Kate &amp; Ashley #23: The Case of the Logical I Ranch : (The Case of the Logical I Ranch) (New Adventures of Mary-Kate and Ashley, 23)"
006106646X,Mary-Kate &amp; Ashley Olsen,"New Adventures of Mary-Kate &amp; Ashley #24: The Case of the Dog Camp Mystery : (The Case of the Dog Camp Mystery) (New Adventures of Mary-Kate and Ashley, 24)"
0061066494,Mary-Kate &amp; Ashley Olsen,New Adventures of Mary-Kate &amp; Ashley #27: The Case of the Game Show Mystery : (The Case of the Game Show Mystery) (New Adventures of Mary-Kate and Ashley)
0061066508,Mary-Kate &amp; Ashley Olsen,New Adventures of Mary-Kate &amp; Ashley #28: The Case of the Mall Mystery : (The Case of the Mall Mystery) (New Adventures of Mary-Kate and Ashley)
0061066524,Mary-Kate &amp; Ashley Olsen,New Adventures of Mary-Kate &amp; Ashley #30: The Case of Camp Crooked Lake : (The Case of Camp Crooked Lake) (New Adventures of Mary-Kate and Ashley)
0061066532,Mary-Kate &amp; Ashley Olsen,New Adventures of Mary-Kate &amp; Ashley #31: The Case of the Giggling Ghost : (The Case of the Giggling Ghost) (New Adventures of Mary-Kate and Ashley)
0061066559,Mary-Kate &amp; Ashley Olsen,"Two of a Kind #15: It's Snow Problem (Two of a Kind, 15)"
0061066567,Mary-Kate &amp; Ashley Olsen,"Two of a Kind #16: Likes Me, Likes Me Not (Two of a Kind, 16)"
0061066575,Mary-Kate &amp; Ashley Olsen,"Two of a Kind #17: Shore Thing (Two of a Kind, 17)"
0061066583,Mary-Kate &amp; Ashley Olsen,"Two for the Road (Mary-Kate &amp; Ashley: Two of a Kind Diaries, No. 18)"
0061066591,Mary-Kate &amp; Ashley Olsen,"Two of a Kind #19: Surprise, Surprise! (Two of a Kind, 19)"
0061066605,Mary-Kate &amp; Ashley Olsen,Two of a Kind #20: Sealed with a Kiss (Two of a Kind)
0061066613,Mary-Kate &amp; Ashley Olsen,"Two of a Kind #21: Now You See Him, Now You Don't (Two of a Kind, 21)"
0061066656,Mary-Kate &amp; Ashley Olsen,"Our Lips Are Sealed (Mary-Kate &amp; Ashley Starring In, No. 1)"
0061066680,Mary-Kate &amp; Ashley Olsen,Holiday in the Sun (Mary-Kate &amp; Ashley Starring In)
0061067121,L. J. Smith,"Secret Circle Vol I: The Initiation (Secret Circle, Vol I)"
0061067148,Marilyn Kaye,"Choose Me (A Changes Romance, No 8)"
0061067156,L. J. Smith,Secret Circle Vol II: The Captive (Secret Circle)
0061067199,L. J. Smith,"Secret Circle Vol III: The Power (The Secret Circle, Vol. 3)"
0061067202,Kate Daniel,Sweet Dreams
0061067237,Linda A. Cooney,"Freshman Christmas (Dorm Super, No 2)"
0061067261,Katherine Applegate,Boardwalk
006106727X,K.T. Smith,"Beverly Hills 90210: Fantasies (Beverly Hills, 90210, No 5)"
0061067318,Bebe Faas Rice,Class Trip
0061067377,Joanna Campbell,Thoroughbred #05 Ashleigh's Dream (Thoroughbred)
0061067393,Cherie Bennett,"Good-Bye, Best Friend"
0061067407,T. S. Rue,Nightmare Inn (Nightmare Inn No. 1)
0061067458,Linda A. Cooney,"Freshman Passion (Freshman Dorm, No 27)"
0061067474,Joanna Campbell,Thoroughbred #06 Wonder's Yearling (Thoroughbred)
0061067482,Katherine Applegate,Ocean City (Ocean City No 1)
0061067563,Mel Gilden,Beverly Hills 90210: Summer Love (Beverly Hills 90210)
0061067687,Mel Gilden,"Beverly Hills 90210: Which Way to the Beach? (Beverly Hills, 90210, No 4)"
0061067709,Janet Quin-Harkin,My Phantom Love (A Changes Romance)
0061067717,Joanna Campbell,Battlecry Forever
0061067733,Kate Daniel,Babysitter's Nightmare
0061067741,Katherine Applegate,The Unbelievable Truth (A Changes Romance No. 3)
006106775X,L. J. Smith,Dark Reunion
0061067865,Mel Gilden,Beverly Hills 90210: 'Tis the Season
0061067903,Janice Harrell,Dead Girls Can't Scream
006107005X,Laura Ingalls Wilder,Little House in the Big Woods
0061070068,Laura Ingalls Wilder,Little House on the Prairie
0061070173,Barbara Robinson,The Best Christmas Pageant Ever!
0061070750,K. S. Rodriguez,Backstreet Boys
0061071870,A. Ryan Nerz,Invasion of the Black Gears! (Digimon)
0061071919,J. E. Bright,"Daredevil (Nascar Racers, 4)"
006107196X,J. E. Bright,Digimon Digital Monsters: Return to Infinity Mountain (Digimon Deluxe Novels)
0061071994,J. E. Bright,"The Quest for Crests (Digimon, 6)"
0061072036,Pamela Pollack,"Mimi's Crest of Sincerity (Digimon Digital Monsters, 7)"
0061072044,Lisa Papademetriou,Digimon Digital Monsters: Digiarmor Energize (Digimon Digital Monsters Season 2)
0061073032,Timm Boyle,"Total Fitness the NBA Way : The Official NBA Workout Guide for Athletes and Weekend Warriors, from the Experts Who Train the Pros"
0061073040,NASCAR,Official NASCAR Trivia: The Ultimate Challenge for NASCAR Fans
0061073091,Andy Meisler,"Resist or Serve (The Official Guide to the X-Files, Vol. 4)"
0061073113,Jody Duncan,The Making of The X-Files Film
0061073326,Nascar,"The Official NASCAR Busch Series Handbook: Everything You Want to Know about the NASCAR Busch Series, Grand National Division"
0061073423,Alice K. Turner,Playboy Book of Science Fiction
0061073482,S P. Somtow,"Crow, The: Temple of NIght (Crow)"
0061073555,Janny Wurts,Cycle of Fire Trilogy
0061073571,Tom McGregor,The Making of C S Forester's Horatio Hornblower
006107361X,Richard Dominick,Jerry Springer's Wildest Shows Ever! : The Official Jerry Springer Show Companion
0061075639,Charles M. Schulz,Dogs Are Worth It (Peanuts Treasury)
0061075698,Mary-Kate Olsen,Mary-Kate &amp; Ashley Our Story: Mary-Kate &amp; Ashley Olsen's Official Biography
0061075957,Andy Meisler,"The End and the Beginning (The Official Guide to the X-Files, Vol. 5)"
0061076031,Mary-Kate &amp; Ashley Olsen,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in)
0061076082,David Browne,Dream Brother: The Lives and Music of Jeff and Tim Buckley
0061076112,Marc Shapiro,"All Things (The Official Guide to the X-Files, Vol. 6)"
0061076163,Elizabeth Hand,The Affair of the Necklace
006107635X,William T. Quick,Planet of the Apes movie novelization
0061080004,Helen Archery,Season of Loving
0061080012,Paula Paul,Sweet Ivy's Gold (Harper Monogram)
0061080039,Constance O'Banyon,Song of the Nightingale (Harper Monogram)
0061080055,Candace Camp,Heirloom (Harper Monogram)
006108008X,Barbara Keller,Heartbreak Trail (Harper Monogram)
0061080098,Catherine Anderson,Indigo Blue (Harper Monogram)
0061080128,Parris Afton Bonds,For All Time
0061080136,Susan Sizemore,Wings of the Storm
0061080160,Patricia Hagan,A Forever Kind of Love (Harper Monogram)
0061080217,Terri Herrington,One Good Man (Harper Monogram)
0061080268,Parris Afton Bonds,Dream Time (Harper Monogram)
0061080276,Georgia Bockoven,The Way It Should Have Been
0061080284,Candace Camp,Rain Lily (Harper Monogram)
0061080292,Candace Camp,Flame Lily (Harper Monogram)
0061080306,Candace Camp,Evensong
0061080349,Christina Dodd,Castles in the Air
0061080365,Suzanne Ellison,Sunburst
0061080373,Catriona Flynt,One Man's Treasure (Harper Monogram)
0061080381,Patricia Hagan,Orchids in Moonlight (Harper Monogram)
0061080446,Constance O'Banyon,Highland love song
0061080470,Leigh Riker,Tears of Jade (Harper Monogram)
0061080489,Patricia Simpson,The Legacy (Harper Monogram)
0061080500,Susan Wiggs,Embrace the Day
0061080519,Susan Wiggs,The Mist and the Magic (Harper Monogram)
0061080527,Susan Wiggs,Lord of the Night
0061080535,Marianne Willman,The Court of Three Sisters (Harper Monogram)
0061080543,Marianne Willman,Silver Shadows
0061080586,Patricia Hagan,Starlight (Monogram)
0061080594,Patricia Simpson,Raven in Amber (Harper Monogram)
0061080608,Catherine Anderson,Coming up Roses (Harper Monograms)
0061080616,Catherine Anderson,Cheyenne Amber : Cheyenne Amber (Harper Monogram)
0061080632,Debbie Macomber,Morning Comes Softly (Harper Monogram)
0061080721,Carol Jerina,The Bridegroom (Harper Monogram)
0061080748,Elizabeth Bevarly,The Wedding (Harper Monogram)
0061080764,Carol Jernia,Kissing Cousins (Harper Monogram)
0061080802,Barbara Keller,The Heart's Legacy (Harper Monogram)
0061080810,Christina Hamlett,Magic Touch
0061080829,Denise Robertson,The Anxious Heart (Harper Monogram)
0061080845,Penelope Thomas,The Secret
0061080853,Penelope Thomas,Indiscretions (Harper Monogram)
0061080861,Suzanne Elizabeth,When Destiny Calls (Harper Monogram)
0061080926,Millie Criswell,Phantom Lover (Harper Monogram)
0061080934,Millie Criswell,Diamond in the Rough (Harper Monogram)
0061080942,Millie Criswell,Mail-Order Outlaw (Harper Monogram)
0061080969,Joanne Pence,Something's Cooking (Angie Amalfi Mysteries)
0061080985,Michele Johns,Heart Sounds (Harper Monogram)
0061080993,Clara Wimberly,Kentucky Thunder (Harper Monogram)
0061081043,Clara Wimberly,Primrose (Harper Monogram)
0061081086,Kathy Lynn Emerson,Firebrand (Harper Monogram)
0061081094,Kathy Lynn Emerson,Unquiet Hearts (Harper Monogram)
0061081108,Chassie West,Sunrise
0061081116,Chassie West,Loss of Innocence : Loss of Innocence
0061081299,Debbie Macomber,Purrfect Love (Harper Monogram)
0061081329,Susan Sizemore,One of These Nights
0061081337,Susan Sizemore,My First Duchess (Harper Monogram)
0061081345,Susan Sizemore,In My Dreams
0061081361,Catriona Flynt,Promise Me Tomorrow (Harper Monogram)
0061081396,Susan Wiggs,Circle in the Water
006108140X,Jeane Renick,Promises/Some Are Made to Be Broken (Harper Monogram)
0061081418,Jeane Renick,Always... (Harper Monogram)
0061081442,Susan Wiggs,Vows Made in Wine (Harper Monogram)
0061081450,Susan Wiggs,Dancing on Air (Harper Monogram)
0061081477,Margaret Carroll,Prairie Light (Harper Monogram)
0061081493,Lee Scofield,Sweet Amity's Fire (Harper Monogram)
0061081515,Christina Dodd,Outrageous
0061081523,Christina Dodd,Move Heaven and Earth : Move Heaven and Earth (Harper Monogram)
0061081531,Christina Dodd,The Greatest Lover in All England
0061081558,Sharon Sala,Chance McCall (Harper Monograms)
0061081566,Roslynn Griffith,Pretty Birds of Passage (Harper Monogram)
0061081582,Paula Paul,A Bad Girl's Money (Harper Monogram)
0061081612,Deborah Satinwood,The Trysting Moon (Harper Monogram)
0061081620,Maura Seger,Forevermore (Harper Monogram)
0061081671,Laura Lee Guhrke,To Dream Again (Harper Monogram)
0061081701,Carolyn Lampman,Meadowlark (Harper Monogram)
006108171X,Carolyn Lampman,A Window in Time (Harper Monogram)
0061081752,Roslynn Griffith,The Wind Casts No Shadows (Harper Monogram)
0061081760,Roslynn Griffith,Heart of the Jaguar
0061081809,Susan Wiggs,Winds of Glory (Harper Monogram)
0061081833,Susan Kay Law,Traitorous Hearts (Harper Monogram)
0061081841,Debbie Macomber,A Season of Angels (Harper Monogram)
006108185X,Debbie Macomber,One Night
0061081957,Leigh Riker,"Oh, Susannah (Harper Monogram)"
0061081965,Sharon Sala,Diamond (Harper Monogram)
0061081973,Sharon Sala,Queen
0061081981,Sharon Sala,Lucky (Avon Romance)
006108199X,Joanne Pence,Too Many Cooks (Angie Amalfi Mysteries)
0061082007,Joanne Pence,Cooking up Trouble (Angie Amalfi Mysteries)
0061082031,Emma Harrington,The Sky Lord (Harper Monogram)
006108204X,Donna Valentino,Mirage (Monogram)
0061082066,Susan Sizemore,My Own True Love (Harper Monogram)
0061082074,Susan Sizemore,Nothing Else Matters (Harper Monogram)
0061082090,Angie Ray,Ghostly Enchantment (Harper Monogram)
0061082104,Mary Spencer,The Coming Home Place (Monogram)
0061082120,Sharon Ihle,The Law and Miss Penny (Harper Monogram)
0061082139,Lisa G. Brown,Crazy For Lovin' You (Harper Monogram)
0061082147,Lisa G. Brown,Sleeping at the Magnolia
0061082155,Christina Dodd,"Tall, Dark, and Dangerous : Tall, Dark, and Dangerous"
0061082163,Georgia Bockoven,Alone in a Crowd (Harper Monogram)
0061082201,Patricia Hagan,Passion's Fury
006108221X,Patricia Hagan,Simply Heaven : Simply Heaven (Harper Monogram)
0061082228,Patricia Hagan,Say You Love Me
0061082252,Suzanne Elizabeth,Destined to Love
0061082260,Barbara Keller,Gambler's Gold (Harper Monogram)
0061082279,Terri Lynn Wilhelm,Shadow Prince (Harper Monogram)
0061082287,Constance O'Banyon,Siren's Song
0061082295,Constance O'Banyon,Once upon a Time
0061082309,Constance O'Banyon,LA Flamme
0061082368,Lass Small,A Nothing Town in Texas
0061082406,Susan Wiggs,The Lily and the Leopard
0061082562,Susan Kay Law,Journey Home (Harper Monogram)
0061082589,Jeane Renick,Trust Me
0061082678,Terri Herrington,Winner Take All (Harper Monogram)
0061082694,Terri Lynn Wilhelm,Fool of Hearts
0061082708,Tess Gerritsen,Peggy Sue Got Murdered (Harper Monogram)
0061082716,Helen Archery,Duel of Hearts
0061082732,Lee Scofield,A Slender Thread (Harper Monogram)
0061082740,Lee Scofield,Young Man's Darling
0061082759,Mary Alice Monroe,The Long Road Home (Harper Monogram)
0061082767,Zita Christian,First and Forever (Harper Monogram)
0061082783,Cathy Maxwell,All Things Beautiful (Monogram)
0061082813,Jeane Renick,Wish List
0061082864,Elaine Barbieri,Seasons of Love (Harper Monogram)
0061082899,Pamela Wallace,Straight from the Heart (Harper Monogram)
0061082902,Constance O'Banyon,Desert Song (Harper Monogram)
0061082910,Pat Cody,A Dangerous Dandy (A Harper Monogram Regency)
0061082929,Martha Longshore,Hearts of Gold
006108297X,Patricia Simpson,Raven in Amber
0061082996,Carol Jerina,Golden Dream
0061083011,Eileen Dreyer,Man to Die for
0061083038,Donna Grove,Return to Camelot
